Date : 2026-07-16 23:17:07
Directory : c:\Users\chris\Desktop\dandilion
Total : 239 files,  33779 codes, 1066 comments, 6211 blanks, all 41056 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\AboutPage.tsx                      | TypeScript JSX     |        121 |          0 |         14 |        135 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\BookmarksPage.tsx                  | TypeScript JSX     |        222 |          1 |         15 |        238 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\CookiesPage.tsx                    | TypeScript JSX     |        209 |          1 |         14 |        224 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\DownloadsPage.tsx                  | TypeScript JSX     |        210 |          0 |         15 |        225 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\ExtensionsPage.tsx                 | TypeScript JSX     |        148 |          0 |         11 |        159 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\HistoryPage.tsx                    | TypeScript JSX     |        270 |          5 |         18 |        293 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\InternalPage.tsx                   | TypeScript JSX     |         37 |          1 |          2 |         40 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\NewTabPage.tsx                     | TypeScript JSX     |        112 |          0 |         10 |        122 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\PageShell.tsx                      | TypeScript JSX     |         32 |          1 |          3 |         36 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\PasswordsPage.tsx                  | TypeScript JSX     |        469 |         21 |         36 |        526 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\PermissionsPage.tsx                | TypeScript JSX     |        190 |          2 |         12 |        204 |
| c:\Users\chris\Desktop\dandilion\src\renderer\pages\SettingsPage.tsx                   | TypeScript JSX     |        919 |          5 |         39 |        963 |
| c:\Users\chris\Desktop\dandilion\src\renderer\providers\AppProvider.tsx                | TypeScript JSX     |         79 |         12 |         11 |        102 |
| c:\Users\chris\Desktop\dandilion\src\renderer\stores\ai.store.ts                       | TypeScript         |        118 |          7 |         12 |        137 |
| c:\Users\chris\Desktop\dandilion\src\renderer\stores\browser.store.ts                  | TypeScript         |        161 |         18 |         16 |        195 |
| c:\Users\chris\Desktop\dandilion\src\renderer\stores\downloads.store.ts                | TypeScript         |         33 |          0 |          7 |         40 |
